ProductID,Flerstyksintervaller,Flerstyksinterspriser
PROD134,1;5;10,927;878;834
PROD1349,1;5;10,927;878;834
PROD135,1;5;10,529;508;479
PROD1350,1;5;10,529;508;479
PROD1351,1;5;10,529;508;479
PROD1352,1;3;5;10;20,313;308;301;294;287
PROD1353,1;3;5;10;20,313;308;301;294;287
PROD1355,1;3;5;10;20,313;308;301;294;287
PROD136,1;3;5;10;20,313;308;301;294;287
PROD1367,1;3;5;10;20,313;308;301;294;287
PROD1368,1;5;10,411;379;355
PROD1369,1;5;10,411;379;355
PROD137,1;5;10,411;379;355
PROD1376,1;2;3;6;12,447;439;427;415;404
PROD1379,1;2;3;6;12,447;439;427;415;404
PROD138,1;2;3;6;12,447;439;427;415;404
PROD1380,1;2;3;6;12,447;439;427;415;404
PROD1382,1;2;3;6;12,447;439;427;415;404
PROD1383,1;3;5;10;20,775;759;737;715;693
PROD1385,1;3;5;10;20,775;759;737;715;693
PROD1386,1;3;5;10;20,775;759;737;715;693
PROD1387,1;3;5;10;20,775;759;737;715;693
PROD1389,1;3;5;10;20,775;759;737;715;693
PROD1391,1;3;5;10;20,1443;1403;1363;1323;1283
PROD1393,1;3;5;10;20,1443;1403;1363;1323;1283
PROD1394,1;3;5;10;20,1443;1403;1363;1323;1283
PROD1395,1;3;5;10;20,1443;1403;1363;1323;1283
PROD1396,1;3;5;10;20,1443;1403;1363;1323;1283
PROD1397,1;3;5;10;20,1460;1422;1385;1347;1309
PROD1398,1;3;5;10;20,1460;1422;1385;1347;1309
PROD1400,1;3;5;10;20,1460;1422;1385;1347;1309
PROD1401,1;3;5;10;20,1460;1422;1385;1347;1309
PROD1402,1;3;5;10;20,1460;1422;1385;1347;1309
PROD1403,1;3;5;10;20,1585;1550;1515;1479;1444
PROD1405,1;3;5;10;20,1585;1550;1515;1479;1444
PROD1406,1;3;5;10;20,1585;1550;1515;1479;1444
PROD1407,1;3;5;10;20,1585;1550;1515;1479;1444
PROD1408,1;3;5;10;20,1585;1550;1515;1479;1444
PROD1409,1;5;10,652;594;550
PROD1411,1;5;10,652;594;550
PROD1412,1;5;10,652;594;550
PROD1413,1;5;10,1345;1235;1152
PROD1414,1;5;10,1345;1235;1152
PROD1415,1;5;10,1345;1235;1152
PROD1416,1;5;10,1942;1775;1650
PROD1417,1;5;10,1942;1775;1650
PROD1418,1;5;10,1942;1775;1650
PROD1419,1;5;10,1729;1580;1469
PROD1420,1;5;10,1729;1580;1469
PROD1421,1;5;10,1729;1580;1469
PROD1422,1,1492
PROD1423,1;5;10;48;96,55.75;54.15;52.55;50.95;47.75
PROD145,1;5;10;48;96,55.75;54.15;52.55;50.95;47.75
PROD1454,1;5;10;48;96,55.75;54.15;52.55;50.95;47.75
